Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",198.0,21.1,73.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",199.0,21.1,73.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",200.0,21.1,73.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",201.0,21.1,73.5,,
"""inTelli-Gee_prototype_v0.1_serial_1""",202.0,21.1,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",203.0,21.1,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",204.0,21.1,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",205.0,21.1,73.6,,
"""inTelli-Gee_prototype_v0.1_serial_1""",206.0,21.2,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",207.0,21.2,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",208.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",209.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",210.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",211.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",212.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",213.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",214.0,21.1,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",215.0,21.1,73.8,,
"""inTelli-Gee_prototype_v0.1_serial_1""",216.0,21.1,73.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",217.0,21.1,73.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",218.0,21.1,73.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",219.0,21.1,73.7,,
"""inTelli-Gee_prototype_v0.1_serial_1""",220.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",221.0,21.1,73.9,,
"""inTelli-Gee_prototype_v0.1_serial_1""",222.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",223.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",224.0,21.1,74.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",225.0,21.1,74.0,,
